code_commune,nom_commune,code_departement,annee,scenario_nombre_votants,modele_nombre_votants,prediction_nombre_votants_2032,scenario_taux_participation,modele_taux_participation,prediction_taux_participation_2032
01177,GRAND-CORENT,01,2032,covid_pondere,Random forest,113.67,covid_pondere,Random forest,75.01
01179,GRIÈGES,01,2032,covid_pondere,Random forest,886.31,covid_pondere,Random forest,56.21
01180,GRILLY,01,2032,covid_pondere,Random forest,303.84,covid_pondere,Random forest,41.26
01181,GROISSIAT,01,2032,covid_pondere,Random forest,458.13,covid_pondere,Random forest,46.62
01183,GUÉREINS,01,2032,covid_pondere,Random forest,613.54,covid_pondere,Random forest,51.14
01184,HAUTECOURT-ROMANÈCHE,01,2032,covid_pondere,Random forest,423.46,covid_pondere,Random forest,65.61
01185,PLATEAU D'HAUTEVILLE,01,2032,covid_pondere,Random forest,2335.94,covid_pondere,Random forest,80.98
01187,HAUT VALROMEY,01,2032,covid_pondere,Random forest,393.98,covid_pondere,Random forest,40.63
01188,ILLIAT,01,2032,covid_pondere,Random forest,262.96,covid_pondere,Random forest,27.64
01189,INJOUX-GÉNISSIAT,01,2032,covid_pondere,Random forest,417.5,covid_pondere,Random forest,52.72
01190,INNIMOND,01,2032,covid_pondere,Random forest,74.51,covid_pondere,Random forest,64.94
01191,IZENAVE,01,2032,covid_pondere,Random forest,84.87,covid_pondere,Random forest,66.94
01192,IZERNORE,01,2032,covid_pondere,Random forest,973.2,covid_pondere,Random forest,62.78
01193,IZIEU,01,2032,covid_pondere,Random forest,139.07,covid_pondere,Random forest,71.63
01194,JASSANS-RIOTTIER,01,2032,covid_pondere,Random forest,2774.95,covid_pondere,Random forest,73.39
01195,JASSERON,01,2032,covid_pondere,Random forest,1093.16,covid_pondere,Random forest,81.66
01196,JAYAT,01,2032,covid_pondere,Random forest,511.96,covid_pondere,Random forest,54.66
01197,JOURNANS,01,2032,covid_pondere,Random forest,184.24,covid_pondere,Random forest,60.65
01198,JOYEUX,01,2032,covid_pondere,Random forest,100.31,covid_pondere,Random forest,42.79
01199,JUJURIEUX,01,2032,covid_pondere,Random forest,864.44,covid_pondere,Random forest,55.87
01200,LABALME,01,2032,covid_pondere,Random forest,93.97,covid_pondere,Random forest,56.5
01202,LAGNIEU,01,2032,covid_pondere,Random forest,3456.08,covid_pondere,Random forest,62.71
01203,LAIZ,01,2032,covid_pondere,Random forest,536.92,covid_pondere,Random forest,54.12
01204,LE POIZAT-LALLEYRIAT,01,2032,covid_pondere,Random forest,290.56,covid_pondere,Random forest,45.18
01205,LANCRANS,01,2032,covid_pondere,Random forest,426.5,covid_pondere,Random forest,74.5
01206,LANTENAY,01,2032,covid_pondere,Random forest,127.24,covid_pondere,Random forest,55.35
01207,LAPEYROUSE,01,2032,covid_pondere,Random forest,160.39,covid_pondere,Random forest,59.76
01208,LAVOURS,01,2032,covid_pondere,Random forest,79.06,covid_pondere,Random forest,76.3
01209,LÉAZ,01,2032,covid_pondere,Random forest,239.6,covid_pondere,Random forest,34.18
01210,LÉLEX,01,2032,covid_pondere,Random forest,209.69,covid_pondere,Random forest,86.93
01211,LENT,01,2032,covid_pondere,Random forest,666.01,covid_pondere,Random forest,59.7
01212,LESCHEROUX,01,2032,covid_pondere,Random forest,333.23,covid_pondere,Random forest,57.3
01213,LEYMENT,01,2032,covid_pondere,Random forest,570.01,covid_pondere,Random forest,52.59
01214,LEYSSARD,01,2032,covid_pondere,Random forest,76.32,covid_pondere,Random forest,59.81
01215,SURJOUX-LHOPITAL,01,2032,covid_pondere,Random forest,89.38,covid_pondere,Random forest,78.39
01216,LHUIS,01,2032,covid_pondere,Random forest,306.14,covid_pondere,Random forest,28.18
01219,LOMPNAS,01,2032,covid_pondere,Random forest,81.69,covid_pondere,Random forest,63.25
01224,LOYETTES,01,2032,covid_pondere,Random forest,1126.8,covid_pondere,Random forest,42.36
01225,LURCY,01,2032,covid_pondere,Random forest,250.45,covid_pondere,Random forest,68.62
01227,MAGNIEU,01,2032,covid_pondere,Random forest,330.16,covid_pondere,Random forest,57.35
01228,MAILLAT,01,2032,covid_pondere,Random forest,251.51,covid_pondere,Random forest,49.48
01229,MALAFRETAZ,01,2032,covid_pondere,Random forest,607.19,covid_pondere,Random forest,63.52
01230,MANTENAY-MONTLIN,01,2032,covid_pondere,Random forest,153.69,covid_pondere,Random forest,56.33
01231,MANZIAT,01,2032,covid_pondere,Random forest,1067.13,covid_pondere,Random forest,73.44
01232,MARBOZ,01,2032,covid_pondere,Random forest,941.81,covid_pondere,Random forest,52.97
01233,MARCHAMP,01,2032,covid_pondere,Random forest,98.16,covid_pondere,Random forest,79.67
01234,MARIGNIEU,01,2032,covid_pondere,Random forest,115.21,covid_pondere,Random forest,80.28
01235,MARLIEUX,01,2032,covid_pondere,Random forest,635.43,covid_pondere,Random forest,73.26
