code_commune,annee,population,taux_chomage,revenu_median,taux_criminalite
01175,2026,784.0,9.81992569250829,21160.0,2.454
01177,2026,183.0,7.31707317073171,22750.0,0.0
01179,2026,1881.0,6.63627250008771,23250.0,2.0942
01180,2026,839.0,7.67750179680329,49690.0,0.0
01181,2026,1241.0,8.02559041867251,23810.0,3.0429
01183,2026,1479.0,5.1006711409396,24720.0,1.3228
01184,2026,763.0,6.36218502185297,22470.0,0.0
01185,2026,4844.0,7.71050141911069,21990.0,2.4363
01187,2026,618.0,8.63649106581119,23410.0,0.0
01188,2026,663.0,5.87571494434656,22470.0,0.0
01189,2026,1115.0,8.23396517042875,27050.0,0.0
01190,2026,87.0,7.31707317073171,21550.0,0.0
01191,2026,154.0,4.65116279069768,24760.0,0.0
01192,2026,2277.0,7.25474031327288,22240.0,2.8273
01193,2026,222.0,11.6155612741903,22550.0,0.0
01194,2026,6346.0,9.6335582669858,22840.0,4.2599
01195,2026,1783.0,5.1605504587156,24440.0,8.3529
01196,2026,1226.0,8.33333333333333,21520.0,1.586
01197,2026,351.0,5.28582117887921,24950.0,0.0
01198,2026,268.0,5.5584028045223,23950.0,0.0
01199,2026,2137.0,10.3866342345595,22060.0,3.7168
01200,2026,214.0,6.89140102975333,22410.0,0.0
01202,2026,7161.0,9.47826086956522,22490.0,3.1857
01203,2026,1313.0,6.59340659340659,23190.0,3.0045
01204,2026,735.0,7.51194479716227,25250.0,0.0
01206,2026,277.0,2.25810334100606,23400.0,0.0
01207,2026,317.0,5.13153686671813,27960.0,0.0
01208,2026,131.0,6.89655172413793,23500.0,0.0
01209,2026,778.0,13.5841779685458,30330.0,0.0
01210,2026,228.0,2.70884961836586,21610.0,0.0
01211,2026,1395.0,5.34662310540512,23930.0,1.9841
01212,2026,718.0,9.09384854601476,21010.0,0.0
01213,2026,1341.0,7.7007009057615,23480.0,1.3879
01214,2026,158.0,7.14285714285714,24150.0,0.0
01215,2026,140.0,13.0434782608696,22100.0,0.0
01216,2026,894.0,6.21621621621622,22280.0,0.0
01219,2026,164.0,9.75609756097561,19170.0,0.0
01224,2026,3225.0,6.97960898731727,22530.0,4.0014
01225,2026,372.0,7.03517587939699,25590.0,0.0
01227,2026,643.0,6.48545193332484,23660.0,0.0
01228,2026,660.0,5.57702267754567,25750.0,0.0
01229,2026,1235.0,4.82924929271984,23090.0,5.3699
01230,2026,312.0,11.3255799429209,20700.0,0.0
01231,2026,1948.0,4.47650854839941,23750.0,1.817
01232,2026,2276.0,5.04761904761905,22940.0,2.4735
01233,2026,130.0,13.0434782608696,23840.0,0.0
01234,2026,169.0,7.14285714285715,23820.0,0.0
01235,2026,1159.0,8.16773536655588,22340.0,2.2778
01236,2026,1011.0,7.63259632739518,21740.0,0.0
01237,2026,1667.0,9.25538230852628,22800.0,2.0032
01238,2026,2670.0,6.52296157160376,27410.0,5.149
01239,2026,620.0,6.12244897959184,23830.0,0.0
01240,2026,627.0,6.45161290322581,23260.0,0.0
01241,2026,1356.0,9.1073197636314,24650.0,1.0519
01242,2026,135.0,12.0,18380.0,0.0
01243,2026,1253.0,8.74828718731639,25670.0,2.816
01244,2026,7923.0,9.83633261333087,23280.0,4.0045
01245,2026,943.0,4.56263847786732,24000.0,1.8657
01246,2026,2217.0,8.6491739552964,22590.0,1.3237
01247,2026,312.0,2.95419903475285,28110.0,0.0
01248,2026,2197.0,6.79166638287302,28060.0,8.0449
01249,2026,10122.0,9.24601639010648,24860.0,6.0531
01250,2026,1974.0,5.5,26310.0,1.2094
01252,2026,786.0,7.61449394223682,24980.0,0.0
01254,2026,2116.0,4.85605975900687,25970.0,3.394
01255,2026,647.0,8.82830371203506,21410.0,0.0
01257,2026,351.0,6.25429114331853,26580.0,0.0
01258,2026,1190.0,3.2258064516129,25410.0,2.2297
01259,2026,702.0,2.83725191058155,23790.0,0.0
01260,2026,302.0,3.83419355899422,26450.0,0.0
01261,2026,668.0,4.51878073519963,27120.0,0.0
01262,2026,6886.0,9.93433413942181,22780.0,5.0431
