code_commune,nom_commune,2014,2020,variation_absolue,variation_relative_pct
76522,LA REMUÉE,71.88,36.14,-35.739999999999995,-49.72
56042,COLPO,78.53,42.8,-35.730000000000004,-45.5
74298,VÉTRAZ-MONTHOUX,54.23,18.5,-35.73,-65.89
2A085,CAURO,83.38,47.65,-35.73,-42.85
35235,RANNÉE,78.58,42.86,-35.72,-45.46
45103,CORBEILLES,68.74,33.02,-35.71999999999999,-51.96
06038,CHÂTEAUNEUF-GRASSE,67.51,31.8,-35.71000000000001,-52.9
30077,CENDRAS,70.34,34.63,-35.71,-50.77
26188,MOLLANS-SUR-OUVÈZE,80.21,44.5,-35.709999999999994,-44.52
29108,LANDUDEC,73.42,37.72,-35.7,-48.62
61243,MAGNY-LE-DÉSERT,77.67,41.97,-35.7,-45.96
35023,BÉDÉE,71.17,35.47,-35.7,-50.16
69219,SAINT-LAURENT-D'AGNY,65.25,29.55,-35.7,-54.71
27595,SAINT-PIERRE-DU-BOSGUÉRARD,75.99,40.29,-35.699999999999996,-46.98
59546,SAINT-SYLVESTRE-CAPPEL,76.37,40.68,-35.690000000000005,-46.73
78299,HARDRICOURT,65.97,30.28,-35.69,-54.1
40202,NARROSSE,69.85,34.17,-35.67999999999999,-51.08
71371,LA ROCHE-VINEUSE,65.87,30.2,-35.67,-54.15
59632,WALLERS,68.08,32.42,-35.66,-52.38
63291,PUY-GUILLAUME,76.85,41.2,-35.64999999999999,-46.39
86163,MONTAMISÉ,71.63,36.0,-35.629999999999995,-49.74
88447,SAULXURES-SUR-MOSELOTTE,68.89,33.27,-35.62,-51.71
39526,TAVAUX,62.7,27.09,-35.61,-56.79
30142,LAVAL-PRADEL,79.03,43.42,-35.61,-45.06
03298,VARENNES-SUR-ALLIER,72.83,37.22,-35.61,-48.89
36009,ARTHON,76.95,41.35,-35.6,-46.26
32307,PAVIE,73.19,37.59,-35.599999999999994,-48.64
31389,MONTRABÉ,66.4,30.83,-35.57000000000001,-53.57
30191,ORSAN,80.91,45.35,-35.559999999999995,-43.95
07227,SAINT-CYR,67.94,32.4,-35.54,-52.31
80011,AILLY-SUR-SOMME,66.91,31.37,-35.53999999999999,-53.12
86276,USSON-DU-POITOU,78.66,43.13,-35.529999999999994,-45.17
62403,HALLINES,75.5,39.98,-35.52,-47.05
76700,TÔTES,70.29,34.77,-35.52,-50.53
35135,IRODOUËR,73.22,37.7,-35.519999999999996,-48.51
05145,SAINT-JEAN-SAINT-NICOLAS,83.04,47.53,-35.510000000000005,-42.76
22360,TRÉGUEUX,67.61,32.1,-35.51,-52.52
67507,VILLÉ,64.4,28.9,-35.50000000000001,-55.12
22214,PLOUÉZEC,67.91,32.41,-35.5,-52.28
74262,SCIENTRIER,73.95,38.46,-35.49,-47.99
35326,SENS-DE-BRETAGNE,69.88,34.41,-35.47,-50.76
62032,ANGRES,66.82,31.35,-35.46999999999999,-53.08
84127,SÉRIGNAN-DU-COMTAT,73.31,37.85,-35.46,-48.37
86062,CHASSENEUIL-DU-POITOU,66.26,30.81,-35.45,-53.5
53018,BALLOTS,70.91,35.47,-35.44,-49.98
38334,REVEL,74.98,39.56,-35.42,-47.24
59278,HALLENNES-LEZ-HAUBOURDIN,66.37,30.95,-35.42,-53.37
35315,SAINT-SULPICE-LA-FORÊT,70.81,35.4,-35.410000000000004,-50.01
14656,SAINT-RÉMY,70.7,35.31,-35.39,-50.06
81244,SAINT-BENOÎT-DE-CARMAUX,68.21,32.82,-35.38999999999999,-51.88
14301,GIBERVILLE,62.46,27.08,-35.38,-56.64
59387,MARQUETTE-EN-OSTREVANT,80.66,45.28,-35.379999999999995,-43.86
62393,GUEMPS,78.06,42.69,-35.370000000000005,-45.31
37213,SAINT-CHRISTOPHE-SUR-LE-NAIS,75.84,40.48,-35.36000000000001,-46.62
74239,SAINT-JEAN-DE-SIXT,73.68,38.33,-35.35000000000001,-47.98
17396,SAINT-SAUVEUR-D'AUNIS,76.48,41.15,-35.330000000000005,-46.2
66172,SAINT-ESTÈVE,69.9,34.58,-35.32000000000001,-50.53
73105,LES ECHELLES,74.44,39.12,-35.32,-47.45
25022,ARCEY,80.76,45.45,-35.31,-43.72
61466,LA SELLE-LA-FORGE,78.92,43.61,-35.31,-44.74
35297,SAINT-MÉEN-LE-GRAND,71.71,36.42,-35.28999999999999,-49.21
42023,BOURG-ARGENTAL,73.49,38.2,-35.28999999999999,-48.02
69049,CHASSELAY,65.43,30.15,-35.28000000000001,-53.92
53246,SAINT-PIERRE-DES-NIDS,72.07,36.8,-35.269999999999996,-48.94
71419,SAINT-GERMAIN-DU-BOIS,76.24,40.97,-35.269999999999996,-46.26
88124,DARNEY,74.34,39.08,-35.260000000000005,-47.43
72065,LA CHAPELLE-SAINT-AUBIN,71.85,36.6,-35.24999999999999,-49.06
74210,PERRIGNIER,68.04,32.8,-35.24000000000001,-51.79
44196,SÉVÉRAC,63.33,28.09,-35.239999999999995,-55.65
51282,GUEUX,72.1,36.86,-35.239999999999995,-48.88
65235,JUILLAN,72.54,37.31,-35.230000000000004,-48.57
62764,SAINT-NICOLAS,66.14,30.91,-35.230000000000004,-53.27
63245,MOZAC,69.95,34.73,-35.220000000000006,-50.35
