code_commune;annee_source;nombre_faits;taux_criminalite;nb_indicateurs
71229;2025;0.0;0.0;10
71230;2025;211.0;3.8886;9
71231;2025;0.0;0.0;8
71232;2025;0.0;0.0;10
71233;2025;0.0;0.0;9
71234;2025;0.0;0.0;9
71235;2025;20.0;1.2762;8
71236;2025;0.0;0.0;5
71237;2025;0.0;0.0;4
71238;2025;0.0;0.0;3
71239;2025;0.0;0.0;4
71240;2025;0.0;0.0;6
71241;2025;0.0;0.0;9
71242;2025;0.0;0.0;4
71243;2025;0.0;0.0;7
71244;2025;0.0;0.0;6
71245;2025;40.0;20.0803;6
71246;2025;0.0;0.0;10
71247;2025;0.0;0.0;9
71248;2025;0.0;0.0;4
71249;2025;0.0;0.0;3
71250;2025;0.0;0.0;3
71251;2025;0.0;0.0;8
71252;2025;0.0;0.0;8
71253;2025;0.0;0.0;6
71254;2025;0.0;0.0;6
71255;2025;0.0;0.0;10
71256;2025;0.0;0.0;5
71257;2025;0.0;0.0;9
71258;2025;0.0;0.0;6
71259;2025;0.0;0.0;10
71261;2025;0.0;0.0;5
71262;2025;0.0;0.0;10
71263;2025;374.0;5.217;12
71264;2025;0.0;0.0;7
71266;2025;0.0;0.0;9
71267;2025;0.0;0.0;5
71268;2025;0.0;0.0;8
71269;2025;78.0;5.9113;7
71270;2025;2198.0;4.6265;14
71271;2025;0.0;0.0;10
71272;2025;0.0;0.0;12
71273;2025;0.0;0.0;7
71274;2025;0.0;0.0;6
71275;2025;78.0;7.7289;6
71276;2025;0.0;0.0;12
71277;2025;0.0;0.0;8
71278;2025;0.0;0.0;11
71279;2025;0.0;0.0;6
71280;2025;0.0;0.0;11
71281;2025;0.0;0.0;5
71282;2025;0.0;0.0;2
71283;2025;0.0;0.0;4
71284;2025;0.0;0.0;10
71285;2025;0.0;0.0;7
71286;2025;0.0;0.0;8
71287;2025;0.0;0.0;10
71289;2025;0.0;0.0;7
71290;2025;0.0;0.0;4
71291;2025;0.0;0.0;4
71292;2025;0.0;0.0;7
71293;2025;0.0;0.0;7
71294;2025;0.0;0.0;2
71295;2025;12.0;2.0202;4
71296;2025;0.0;0.0;7
71297;2025;0.0;0.0;4
71299;2025;0.0;0.0;10
71300;2025;0.0;0.0;4
71301;2025;0.0;0.0;11
71302;2025;0.0;0.0;9
71303;2025;0.0;0.0;7
71305;2025;5.0;1.1494;5
71306;2025;896.0;4.5208;12
71307;2025;0.0;0.0;7
71308;2025;0.0;0.0;13
71309;2025;32.0;5.7858;4
71310;2025;223.0;4.0753;12
71311;2025;0.0;0.0;9
71312;2025;0.0;0.0;9
71313;2025;0.0;0.0;9
71314;2025;0.0;0.0;10
71315;2025;0.0;0.0;12
71316;2025;0.0;0.0;11
71317;2025;0.0;0.0;11
71318;2025;0.0;0.0;5
71319;2025;0.0;0.0;6
71320;2025;0.0;0.0;9
71321;2025;0.0;0.0;8
71322;2025;0.0;0.0;13
71323;2025;0.0;0.0;11
71324;2025;0.0;0.0;5
71325;2025;0.0;0.0;5
71326;2025;0.0;0.0;8
71327;2025;0.0;0.0;11
71328;2025;0.0;0.0;6
71329;2025;0.0;0.0;3
71330;2025;0.0;0.0;8
71331;2025;0.0;0.0;14
71332;2025;0.0;0.0;7
71333;2025;6.0;1.6393;3
71334;2025;0.0;0.0;10
71335;2025;0.0;0.0;13
71336;2025;24.0;1.4935;5
71337;2025;0.0;0.0;9
71338;2025;0.0;0.0;10
71339;2025;0.0;0.0;7
71340;2025;7.0;0.7117;7
71341;2025;0.0;0.0;10
71342;2025;443.0;4.4135;11
71343;2025;0.0;0.0;9
71344;2025;0.0;0.0;12
71345;2025;0.0;0.0;2
71346;2025;17.0;2.2049;5
71347;2025;0.0;0.0;10
71348;2025;0.0;0.0;12
71349;2025;0.0;0.0;14
71350;2025;0.0;0.0;6
71351;2025;33.0;3.3554;5
71352;2025;0.0;0.0;10
71353;2025;0.0;0.0;4
71354;2025;0.0;0.0;7
71355;2025;0.0;0.0;7
71356;2025;0.0;0.0;7
71357;2025;0.0;0.0;8
71358;2025;0.0;0.0;13
71359;2025;0.0;0.0;5
71360;2025;0.0;0.0;3
71361;2025;0.0;0.0;13
71362;2025;0.0;0.0;9
71363;2025;0.0;0.0;11
71364;2025;0.0;0.0;13
71365;2025;5.0;1.6234;5
71366;2025;0.0;0.0;9
71367;2025;0.0;0.0;5
71368;2025;0.0;0.0;8
71369;2025;0.0;0.0;8
71370;2025;0.0;0.0;7
71371;2025;7.0;0.6369;7
71372;2025;31.0;3.0923;5
71373;2025;26.0;2.5979;7
71374;2025;0.0;0.0;13
71376;2025;0.0;0.0;9
71377;2025;0.0;0.0;9
71378;2025;17.0;2.1131;5
71379;2025;16.0;5.2151;4
71380;2025;0.0;0.0;7
71381;2025;0.0;0.0;10
71382;2025;0.0;0.0;4
71383;2025;127.0;46.1818;5
