code_commune;revenu_median;taux_pauvrete;nb_menages;nb_personnes
14658;19790;14;1894;4255
14659;22460;;553;1412
14660;20150;;49;115
14661;24400;;56;139
14663;22770;;1020;2424
14664;19680;;106;295
14665;24430;;132;288
14666;21970;;751;1838
14667;21380;;92;234
14668;21240;;102;278
14669;21010;;77;186
14672;20780;;344;860
14674;22140;;42;126
14675;23610;;776;1990
14676;23460;;409;1037
14677;23560;;95;247
14678;21110;;237;632
14679;23280;;256;684
14680;24060;;62;158
14681;21780;;61;157
14682;25050;;189;464
14684;23120;;84;239
14685;25610;;681;1839
14687;21950;;75;186
14689;20840;14;1539;3572
14692;21490;;664;1702
14694;23300;;206;549
14698;23810;;136;344
14699;20920;15;2062;3891
14700;22420;;237;674
14701;28800;;467;797
14705;20440;;60;127
14706;27180;;97;243
14707;24140;;400;1093
14708;22470;;126;300
14709;23990;;144;334
14710;20810;;43;108
14711;19210;;394;850
14712;22580;7;1397;3347
14713;22250;;203;543
14714;21620;;312;793
14715;20800;16;2617;4563
14716;23330;;87;214
14719;21390;;247;684
14720;21370;;351;885
14721;22790;;230;646
14723;24080;;104;258
14724;24350;;474;1015
14726;19690;15;2461;5834
14728;25260;;222;577
14731;26540;;94;204
14732;24830;;138;321
14733;24210;;130;301
14734;23680;;126;292
14735;21180;;308;777
14737;23090;;192;539
14738;24680;7;1517;3573
14739;23770;;760;1711
14740;19800;;498;1110
14741;21470;;44;112
14744;23150;;104;280
14745;22500;;119;232
14747;24830;;267;715
14751;20920;;115;281
14752;20370;12;1359;2890
14753;21540;;275;746
14754;22230;12;1634;2722
14755;21750;;302;579
14756;19620;;91;227
14758;31040;;308;848
14759;23710;;109;270
14760;22250;;292;745
14761;21090;;285;797
14762;20600;14;8103;16741
14764;18910;;462;966
15001;18910;;380;701
15002;19260;;92;232
15003;19740;;280;552
15004;20850;;181;467
15005;20850;;147;385
15006;18260;;324;694
15007;19150;;52;132
15008;20270;;135;277
15009;18880;;105;188
15010;20360;;85;181
15011;21060;;82;159
15012;22360;7;2930;6301
15013;18140;;84;150
15014;20940;15;13243;23563
15015;17920;;81;164
15016;20120;;253;648
15017;18990;;59;124
15018;17870;;55;110
15019;18410;;102;212
15021;19830;;280;605
15022;21950;;77;162
15025;20400;;114;240
15026;19570;;75;151
15027;19900;;324;664
15028;20090;;158;358
15029;19340;;206;428
15030;19840;;118;284
15033;17900;;102;232
15034;17050;;66;139
15036;19490;;207;446
15037;18780;;481;1002
15038;18930;;463;900
15041;21090;;110;260
15042;18550;;127;253
15045;20520;;364;711
15046;18210;;109;217
15049;16700;;110;201
15050;18260;;88;157
15051;18030;;91;179
15052;20480;;77;156
15053;20770;;181;438
15054;19900;;404;782
15055;21240;;192;457
15056;23000;;322;843
15057;20660;;93;187
15058;17440;;72;149
15059;18900;;65;126
15061;19530;;110;237
15063;17740;;158;333
15066;19190;;62;104
15069;18190;;123;248
15070;20480;;101;203
15072;19010;;99;206
15074;24400;;325;791
15076;19120;;95;171
15078;18370;;60;131
15079;20460;;158;362
15080;18560;;69;150
15081;19170;;56;105
15082;18490;;120;265
15083;21610;;912;2049
15084;19830;;124;297
15085;20620;;204;485
15087;21010;;130;349
15088;22650;;243;547
15089;18370;;195;437
15090;20680;;254;553
15092;21550;;661;1362
15094;20980;;380;701
15095;20100;;160;349
15096;18910;;130;284
15097;16890;;45;108
15100;20000;;66;135
15101;22720;;245;541
15103;19110;;105;230
15104;17360;;160;331
15106;17250;;70;147
15107;16040;;82;167
15108;19540;;475;1031
15110;20240;;64;126
15111;20660;;99;204
15112;13790;;50;96
15113;19120;;98;190
15114;19150;;230;422
15116;20720;;68;143
15117;18730;;270;576
15118;21780;;316;692
15119;20650;;856;1736
15120;20130;14;1716;3300
15122;19560;;992;1894
15123;19620;;87;170
15124;19000;;239;510
15125;18990;;50;123
15127;17380;;144;297
15128;21080;;52;98
15129;18200;;76;148
15130;18040;;58;125
15131;19340;;123;259
15133;19220;;61;130
15134;20840;;357;711
15135;18270;;58;98
15137;20330;;125;258
15138;20990;;885;1677
15140;23410;;924;2115
15141;20400;;809;1609
15142;20350;;770;1688
15143;22800;;50;113
15144;19130;;129;320
15146;20540;;59;122
15147;20240;;167;369
15148;19350;;173;419
15149;22420;;71;160
15151;17800;;70;140
15152;21090;;367;720
15153;19190;;752;1392
15154;20700;;532;1193
15156;22600;;267;710
15157;20700;;135;308
15159;18780;;115;225
15160;22600;;422;1039
15161;17450;;44;112
15162;20180;13;1236;2290
15163;22430;;428;1084
15164;21240;;262;605
15165;17830;;98;188
15166;20540;;122;300
15167;19690;;52;111
15168;20590;;308;717
15169;21120;;406;748
15170;19650;;111;220
15173;15880;;52;102
15174;19070;;121;255
15175;20610;;465;990
15176;19190;;120;227
15178;17040;;66;131
15179;19970;;113;250
15181;20890;;263;571
15182;18780;;54;119
15183;19410;;50;130
15184;22720;;343;745
15185;19210;;118;232
15186;18840;;97;229
15187;20270;13;3011;5779
15188;21460;;506;1208
15189;20190;;109;207
15191;18900;;256;551
15192;18950;;136;288
15194;20900;;54;108
15196;21290;;641;1461
15198;17880;;50;101
15200;19100;;67;139
15201;19420;;91;193
15202;19870;;348;686
15203;21040;;84;193
15204;21890;;662;1567
15205;18320;;52;103
15206;17370;;59;129
15207;17390;;155;333
15208;17590;;64;125
15209;18250;;48;111
15211;17870;;132;279
15212;21490;;159;354
15213;17300;;92;172
15214;17490;;85;175
15215;22460;;504;1199
15216;21010;;163;318
15217;17830;;46;109
15219;21630;;144;272
15220;23440;;72;138
15221;22140;;574;1399
15222;18100;;89;207
15223;18930;;97;215
15224;20390;;57;112
15225;19730;;99;201
15226;20470;;93;212
15228;19860;;233;474
15230;19420;;86;201
15231;19540;;274;625
15232;19530;;93;221
15233;22990;;109;290
15234;21520;;138;323
15235;20550;;253;592
15236;20540;;280;575
15237;22270;;69;175
15238;21270;;66;120
15240;17010;;81;154
15243;17780;;232;444
15244;19790;;193;478
15245;22440;;110;253
15246;18770;;105;220
15248;20260;;261;583
15250;19820;;223;485
15251;17640;;66;121
15252;22050;;185;414
15254;17930;;51;114
15255;22290;;512;1259
15257;16630;;63;130
15258;20900;;887;1778
15259;18250;;107;259
15261;22040;;375;805
15262;21900;;227;556
15263;18850;;56;125
15264;19570;;130;275
15265;20480;;807;1595
15266;22770;;257;604
15267;23100;6;1770;4379
15268;21110;;518;1053
15269;19560;;62;124
16001;18210;;206;419
16002;18270;;211;496
16003;19930;;375;832
16005;19260;;698;1390
16007;17890;;240;461
16008;19490;;144;312
16009;18260;;172;353
16010;23260;;79;155
16011;22640;;237;566
16012;23160;;220;521
16013;22790;;143;325
16014;20580;;50;131
16015;19120;24;20312;38244
16016;21210;;376;810
16018;25200;;308;708
16019;22310;;533;1260
16020;18060;;105;186
16023;18750;;268;561
16024;21200;;208;506
16025;19060;;578;1226
16026;24420;;576;1386
16027;20110;;62;127
16028;19330;18;2233;4430
16029;19250;;110;224
16030;22270;;437;1030
16031;22340;;174;399
16032;22180;;215;494
16034;18440;;72;140
16035;17390;;111;207
16036;21740;;108;298
16037;19260;;66;138
16038;18430;;159;302
16039;20730;;213;473
16040;20130;;134;326
16041;17710;;60;108
16042;21360;;58;113
16044;19530;;106;218
16045;23210;;143;375
16046;19750;;474;992
16047;18480;;113;270
16048;16970;;58;120
16049;18870;;163;321
16050;21800;;111;249
16052;19630;;119;245
16053;18460;;49;102
16054;17280;;77;158
16055;21580;;387;884
16056;23790;;351;817
16057;22540;;135;313
16058;25780;;626;1466
16059;15870;;73;168
16060;21910;;198;453
16061;22950;6;1603;3961
16062;19610;;52;129
16063;19360;;76;155
16064;20540;;459;988
16065;16580;;255;535
16066;18390;;233;477
16067;21000;;190;443
16068;18580;;255;555
16069;20710;;177;379
16070;19120;;820;1558
16071;19800;;255;569
16072;20770;;202;465
16073;17570;;843;1608
16074;20550;;133;338
16075;21610;;96;223
16076;19440;;429;781
16077;22910;;207;507
16078;24100;6;2301;5405
16079;20950;;143;326
16081;20930;;84;188
16082;19880;;273;656
16083;18650;;153;312
16084;19890;;138;301
16085;19250;17;1459;2943
16086;19910;;395;826
16087;16520;;72;140
16088;23110;;508;1180
16089;22430;8;1725;3583
16090;20540;13;1599;3295
16091;19790;;82;155
16093;21420;;661;1557
16095;22380;;68;132
16096;18410;;180;380
16097;23170;;1023;2288
16098;24740;;64;143
16099;21660;;97;205
16100;21200;;344;766
16101;23020;;431;1076
16102;21000;17;9342;17669
16103;16480;;61;111
16104;21960;;213;428
16105;20100;;260;626
16106;20530;19;1169;2245
